department_tag,course_code,name,credits,description,corequisites,prerequisites,attributes,department,group_numbers
ACCT,4501,Financial Reporting and Analysis 2,4,"Continues ACCT 3401 with a more extensive study of financial statements and the financial reporting rules underlying them. Advanced topics include bonds, pensions, leases, earnings per share, and earnings management. Introduces more advanced financial statement analysis tools. Offers students an opportunity to continue to gain the ethical awareness and the knowledge necessary to analyze the impact of alternative reporting decisions on financial statements.",[],['ACCT 3401'],[],Accounting,[1]
ACCT,5201,Foundations of Financial Reporting and Analysis 1,3,"Covers the preparation and interpretation of financial statements. Focuses on the accounting for revenue and accounts receivable, cash, inventory, fixed and intangible assets, and investments. This is the first of a two-course sequence. Department permission required.",[],[],[],Accounting,[]
ACCT,5202,Foundations of Assurance Services,3,"Studies the foundations of financial statement auditing. Focuses on the economic importance of auditing and factors relevant to an external auditing professional—audit planning, risk analysis, internal controls, and substantive testing. Includes the report and opinion of the auditor to management and stakeholders. Considers the ethical and legal responsibilities of the auditor. Department permission required.",[],[],[],Accounting,[]
ACCT,5203,Foundations of Income Tax Determination and Planning,3,"Studies the foundations of the structure of the federal income tax system. Focuses on the individual taxpayer but also considers the implications for other entities. Demonstrates the potential impact of taxes on decision making using tax return projects, research cases, and planning projects. Department permission required.",[],[],[],Accounting,[]
ACCT,5204,Foundations of Financial Reporting and Analysis 2,3,"Continues ACCT 5201 with a more extensive study of financial statements and the financial reporting rules underlying them. Advanced topics include bonds, pensions, leases, earnings per share, and earnings management. Introduces more advanced financial statement analysis tools. Offers students an opportunity to continue to develop the ethical awareness and obtain the knowledge necessary to analyze the impact of alternative reporting decisions on financial statements. Department permission required.",[],['ACCT 5201'],[],Accounting,[1]
ACCT,5220,Data Analytics for Advisory Services,4,"Covers how data analytics is used to address business problems in the advisory services field. Examines how to master, test, analyze, and present data using Excel, Tableau, and SQL, among other data analytics tools. Emphasizes how to apply data analytics skills to managerial analytics, financial statement analytics, and tax analytics through advisory-type projects and labs.",[],"['ACCT 2301', 'ACCT 6207']",[],Accounting,"[1, 1]"
ACCT,5230,Federal Tax Issues and Analysis,3,"Gives a broad examination of tax authority as it guides action on tax issues including personal and business decisions. Examines the tax structure with a specific focus on the income and expenses for individual taxpayers. Emphasizes property transactions (including the calculation of basis, gain/loss, and the resulting tax treatment). Also incorporates tax planning and research related to these issues. Students who do not meet course prerequisites or restrictions may seek permission of instructor.",[],[],[],Accounting,[]
ACCT,5232,Estate and Gift Taxation,3,"Focuses on the study of the taxes common to the transfer of property and wealth. Topics include gift tax deductions and exclusions, estate valuation, state tax deductions and exemptions, and tax rates. Also explores planning opportunities for these wealth transfer taxes. Students who do not meet course prerequisites or restrictions may seek permission of instructor.",[],"['ACCT 5230', 'ACCT 5230', 'ACCT 6230']",[],Accounting,"[1, 1, 1]"
ACCT,5255,Forensic Accounting,3,"Offers an overview of occupational fraud and the methodology of fraud examination (i.e., obtaining documentary evidence, interviewing witnesses and potential suspects, writing investigative reports, testifying to findings, and forensic document examination). Offers students an opportunity to learn how to detect the most common types of occupational fraud, determining how each type of fraud is committed, and implementing prevention strategies. Students who do not meet course prerequisites or restrictions may seek permission of instructor.",[],[],[],Accounting,[]
ACCT,5256,Internal Auditing,3,Offers an overview of the internal audit function and explores the duties and responsibilities of the internal auditor. Offers students an opportunity to learn about the planning and organizing of an internal audit department and its coordination with an outside auditor as well as to learn to analyze how the design of an internal control auditing process can reduce risk exposure and enhance internal controls. Students who do not meet course prerequisites or restrictions may seek permission of instructor.,[],[],[],Accounting,[]
ACCT,6200,Financial Reporting and Managerial Decision Making 1,3,"Offers the first of a two-course sequence that focuses on the acquisition, measurement, and management of firm resources. Business managers make strategic decisions about the acquisition and use of a variety of firm resources. Helps enable students to understand and utilize critical information in corporate financial reports to improve business decision making. Offers students the opportunity to learn contemporary methods of financial reporting and analysis used by internal decision makers and external capital providers. Required course for co-op MBA/part-time MBA.",[],[],[],Accounting,[]
ACCT,6201,Financial Reporting and Managerial Decision Making 2,1,"Continues ACCT 6200, offering the second of a two-course sequence that focuses on the acquisition, measurement, and management of firm resources. Critical to the effective planning, implementation, and management of successful business strategies is the ability to measure and manage the commitment and utilization of entity resources. Focuses on contemporary methods and frameworks used in the process of measuring, analyzing, and allocating firm resources to achieve strategic and operating objectives. Required course for co-op MBA/part-time MBA.",[],['ACCT 6200'],[],Accounting,[1]
ACCT,6203,Business Entity Taxation,3,"Provides an in-depth look at the structure of the federal income tax system as it relates to different taxable entitites. Emphasizes tax compliance, planning, and research as they impact the decision-making process for corporation and flow-through entities. Also examines the implications of wealth transfer taxes.",[],[],[],Accounting,[]
ACCT,6204,Financial Reporting for Integrated Multinational Enterprises,3,"Presents and discusses financial reporting practices for diversified, international business entities. In today’s global business environment, many corporations operate diverse economic activities and often conduct those activities across geographic boundaries. Examines accounting and disclosure standards in the United States that are relevant to presenting consolidated financial statements. Also analyzes accounting and disclosure standards in other countries and those developed by international bodies with respect to their effects on reporting entities and the financial markets.",[],['ACCT 6203'],[],Accounting,[1]
ACCT,6205,Auditing in a Big Data Environment,3,"Intended for students with a prior course in assurance services and/or auditing. Focuses on the coverage of current significant issues in the assurance services and big data environment. Topics include the impact of technology on the audit process, client risk assessment and statistical data analysis, other assurance services and nonattestation engagements, and the use of complex decision aids. Emphasis is also on contemporary ethical and legal issues confronting the public accounting profession. Offer students the opportunity to think critically about a number of significant issues facing the auditing profession and also introduces impact of big data, the audit judgment, and decision-making process through the completion of a variety of audit cases.",[],[],[],Accounting,[]
ACCT,6207,Contemporary and Emerging Issues in Financial Reporting,3,"Focuses on the theoretical concepts of accounting with an examination of standards issued by various professional organizations including the FASB, SEC, and AICPA. Also examines emerging issues in corporate, governmental, and nonprofit financial reporting. Real-world cases are used to illustrate and discuss the complex financial reporting process and ethical issues confronted by the business community and accounting profession.",[],[],[],Accounting,[]
ACCT,6216,Financial Reporting for Governments and Nonprofit Entities,2,"Covers business issues and financial reporting standards for state and local governments within the United States, as well as for nonprofit organizations. These organizations make up a large and growing share of the economy, and so it is important to consider whether the funds entrusted to them by taxpayers and donors are being used effectively. These entities have unique ways of reporting their financial results, based on their specific business purposes and the needs of their constituents. The course discusses these reporting methods and the use of the resulting financial reports in evaluating performance within the government and nonprofit contexts.",[],[],[],Accounting,[]
ACCT,6217,"Corporate Governance, Ethics, and Financial Reporting",3,"Deals with issues related to corporate governance and audit committee mechanisms in preventing financial reporting disasters and in providing high-quality financial reports to global capital markets. Emphasizes the role of the board of directors and its committees, management, shareholders, external auditors, and internal auditors in developing sound ethical practices and a good corporate governance culture. Examines efforts by legislative and regulatory bodies and the accounting profession in improving financial reporting transparency and auditor independence.",[],[],[],Accounting,[]
ACCT,6220,Corporate Financial Reporting and Decision Making 1,3,"Examines the development of financial reports including their underlying concepts and measurement theories. Corporate financial reporting is a dynamic process in which information is provided to internal and external decision makers to assist them in the effective allocation of economic resources. Examines the legal, economic, and political processes that influence the financial reporting process.",[],[],[],Accounting,[]
ACCT,6221,Corporate Financial Reporting and Decision Making 2,6,Continues ACCT 6220. Examines corporate financial reporting in the decision-making process. Emphasis is on the economic consequences of alternative financial reporting practices. Provides students with the ability to understand and utilize critical information contained in corporate financial reports to improve business decision making.,[],['ACCT 6220'],[],Accounting,[1]
ACCT,6222,Corporate and Governmental/Nonprofit Financial Reporting and Decision Making,6,"Continues the study of corporate financial reporting, covering specialized topics that assume knowledge of the accounting principles covered in the first two courses. Topics include corporate reporting as equity instruments, executive compensation, reporting of fund flows, and reporting and disclosures for corporations engaged in diverse economic activities and those operating across geographic boundaries. Examines accounting and disclosure standards in the United States and in other countries, as well as standards developed by international bodies. Covers financial reporting models used by governmental and nonprofit entities.",[],['ACCT 6221'],[],Accounting,[1]
ACCT,6223,Audit and Other Assurance Services,6,"Introduces the attest function and its application to financial statement opinion audits and other assurance services common in today’s professional environment. Emphasizes a risk-based approach to audit planning, the internal control structure, and the control environment; the design of test of controls, substantive tests, and the resultant audit report. Topics include audit sampling, audit evidence, audit procedures, workpaper preparation, the impact of information technology on the audit process, and the auditor’s responsibility to detect fraud. A primary focus is the auditor’s legal and ethical responsibilities. Emphasis is also on operational audits, compliance audits, reviews, compilation, and other attestation services.",[],['ACCT 6221'],[],Accounting,[1]
ACCT,6224,Taxation of Individuals and Business Entities,6,"Introduces the principles of taxation including income and expenses, tax accounting methods, and the tax implications of property transactions (including the calculation of basis as well as gains and losses). Emphasizes tax compliance, planning, and research as they impact the decision-making process for individuals, corporations, and flow-through entities.",[],['ACCT 6221'],[],Accounting,[1]
ACCT,6226,Strategic Cost Management,3,"Examines the strategic decisions that managers need to make concerning the acquisition, measurement, and management of firm resources. Focuses on the strategic use of cost information for planning and controlling, and the use of cost analysis in making critical business decisions.",[],['ACCT 6221'],[],Accounting,[1]
ACCT,6227,Accounting for Business Combinations,3,"Examines the conceptual and practical aspects of business combinations. Topics include mergers and acquisitions, purchase accounting, cost vs. equity method, and accounting for intercompany transactions between a parent company and its subsidiaries.",[],['ACCT 6221'],[],Accounting,[1]
ACCT,6228,Contemporary Issues in Accounting Theory,3,"Offers a capstone course on the theoretical concepts of accounting, with a focus on standards issued by various professional organizations including the FASB, SEC, and AICPA. Examines emerging issues in financial reporting. Real-world cases are utilized to illustrate the complex financial reporting issues confronted by the business community and accounting profession.",[],['ACCT 6221'],[],Accounting,[1]
ACCT,6229,Accounting for Foreign Currency Transactions,1,Examines the accounting and reporting issues facing multinational enterprises operating in foreign countries. Business transactions that are denominated in foreign currency may result in risk for the entity as a result of fluctuations in exchange rates. This course evaluates risk management techniques by use of forward exchange contracts and other financial derivatives. Covers reporting issues dealing with the translation of foreign entities financial statements into U.S. dollars and appropriate remeasurement techniques.,[],[],[],Accounting,[]
ACCT,6231,Corporations and Shareholders,3,"Provides an in-depth study of the tax issues related to the corporate form and the corresponding tax implications for its shareholders. Given the importance of corporations in the federal income tax system, an understanding of the tax issues related to this type of business is essential for tax professionals. Topics include capital formation and structure, the operations of the corporation, distributions, dividends and redemptions, sales and liquidations, and taxable and tax-free reorganizations.",[],"['ACCT 5230', 'ACCT 5230']",[],Accounting,"[1, 1]"
ACCT,6235,Partners and Partnerships,3,"Provides an in-depth study of the tax issues related to one of the central flow-through entities, the partnership. The increasing popularity of flow-through entities as an organizational form has made an understanding of the tax issues related to this type of entity an important area of study for tax professionals. Topics include capital formation, operations, transactions between the partner and the partnership, distributions, sales of partnership interests, and liquidation of the partnership.",[],"['ACCT 5230', 'ACCT 5230']",[],Accounting,"[1, 1]"
ACCT,6239,State and Local Taxation,3,"Addresses the most common types of taxes imposed by state and local governments. Examines state and local income, sales, excise, property, and city taxes. Emphasis is on the underlying principles governing the application of each type of tax and the interrelationships where they exist.",[],"['ACCT 5230', 'ACCT 5230']",[],Accounting,"[1, 1]"
ACCT,6240,International Taxation: Inbound Transactions,3,"Addresses the taxation of foreign individuals or corporations receiving income from sources, or conducting business, in the United States. With the globalization of the economy, a greater number of taxpayers must consider the impact of international taxation. Topics include the sourcing of income, taxation of passive income, taxation of income connected to a U.S. trade or business, branch-level taxes, issues of foreign-owned U.S. corporations, income tax treaties, and transfer pricing.",[],"['ACCT 6231', 'ACCT 6235']",[],Accounting,"[1, 1]"
ACCT,6241,International Taxation: Outbound Transactions,3,"Examines the federal taxation of U.S. individuals receiving income from sources or conducting business in foreign jurisdictions. An increase in the number of U.S. individuals and corporations operating in other countries has enhanced the importance of an understanding of international transactions for tax professionals. Examines sourcing of income, allocation and apportionment of deductions, foreign tax credits, taxation of U.S. citizens and residents abroad, controlled federal corporations, passive foreign investment companies, foreign currency translations and transactions, and special entities.",[],"['ACCT 6231', 'ACCT 6235']",[],Accounting,"[1, 1]"
ACCT,6243,Advanced Flow-Through Entities,3,"Offers an in-depth look at the tax consequences of businesses formed as flow-through entities (including partnerships, S corporations, and LLCs). Discusses allocation rules, liability sharing rules, disguised sales rules, partnership debt workouts, the S corporation election, and tax treatment of shareholders in an S corporation.",[],"['ACCT 6231', 'ACCT 6235']",[],Accounting,"[1, 1]"
ACCT,6248,Income Taxation of Trusts and Estates,3,"Examines the general rules for the taxation of estates and trusts. Topics include trusts that distribute current income only, grantor trusts, irrevocable trusts, charitable vehicles, income in respect of a decedent, estates and trusts that may accumulate income or may distribute corpus, and treatments of excess distributions and beneficiaries.",[],[],[],Accounting,[]
ACCT,6250,Financial Planning for Insurance,3,"Surveys insurance products used for financial planning. Topics include life, accident, health, disability, long-term care, homeowner, auto, and personal liability, with emphasis on personal risk management and the use of insurance products in the financial planning process.",[],['ACCT 5232'],[],Accounting,[1]
ACCT,6253,Ethics in the Accounting Profession,3,"Focuses on the roles and ethical responsibilities in the accounting, auditing, and tax professions. Also covers ethical behavior by management as well as the legal guidelines that apply in a business setting.",[],[],[],Accounting,[]
ACCT,6254,Accounting Research and Communication,3,Requires students to research and analyze auditing issues by using quantitative and/or qualitative research methods. Offers students an opportunity to learn how to more effectively communicate those findings in a professional format.,[],[],[],Accounting,[]
ACCT,6264,Planning for Estate Tax Issues,3,"Examines advanced strategies for maximizing personal goals (including probate avoidance, tax minimization, and asset protection) related to property passed from one generation to another. Emphasizes trust vs. will planning and other vehicles for estate planning; the principles of estate taxation; the impact of employee benefits, trusts, and their taxations; and life insurance policies and associated annuities.",[],[],[],Accounting,[]
ACCT,6265,Tax Accounting for Income Taxes,3,"Investigates the reporting of uncertain positions and accounting treatment accorded current and deferred income tax liabilities and expenses. Topics include accounting for uncertain tax positions, accounting methods and periods (particularly in cases where the accounting and tax records differ), special elections available to taxpayers, installment reporting, inventory methods, long-term contract accounting, and cash vs. accrual reporting.",[],[],[],Accounting,[]
ACCT,6292,"Tax Research, Practice, and Ethics",3,"Offers students an opportunity to develop and refine their tax research skills through practical exercises. Covers the creation of various sources of tax authority. Exposes students to the procedures used in dealing with the Internal Revenue Service (IRS), with an emphasis on practitioner responsibilities. Reviews the organization of the IRS, filing requirements, appeal procedures, civil/criminal statutes, assessments, and protests. Includes a study of the value and moral judgments inherent in the field of taxation, including client confidentiality, disclosure of false or misleading information, and advice counter to the law or public good.",[],[],[],Accounting,[]
ACCT,6318,Analyzing Accounting Data for Strategic Decision Making,2,"Highlights managerial decisions affecting a company’s performance in generating revenues, controlling costs, and producing profits. Begins with a brief review of financial accounting, then focuses on the development and use of information, especially financial information, for managerial decisions related to the firm’s planning—operations—control cycle.",[],[],[],Accounting,[]
ACC,2100,Financial Accounting,3,"Examines the development, objective, and purpose of financial statements. Emphasizes the preparation, analysis, and use of these statements to make operating, financial, and investment decisions. Covers the underlying methods, concepts, principles, and measurement theories. Topics include understanding the operating cycle, receivables, inventories, plant and equipment, intangible assets, liabilities, bonds, ownership, and stockholders’ equity. Special topics include the mathematics of present value theory, calculations, and applications.",[],[],[],Accounting - CPS,[]
ACC,2200,Managerial Accounting,3,"Examines the fundamental tools and principles of managerial accounting for decision-making purposes, including planning and control. Covers cost determination, assignment, definition, and behavior. Requires students to prepare management accounting reports and statements for internal decision-making purposes, including the preparation of budgets and contribution margin statements. Topics include job order, process costing, activity-based costing (ABC), inventory techniques, variance analysis, CVP analysis, and budgeting.",[],[],[],Accounting - CPS,[]
ACC,2300,Cost Accounting,3,"Examines the concepts and methodologies useful to understand a cost accounting system for business decision-making, cost control, and performance assessment. Studies cost analysis and explores statistical methods in measuring cost behavior, overhead, and fixed costs. Introduces capital budgeting techniques for equipment replacement and long-term asset management given the relevant range of productive capacity. Compares and analyzes decentralization, segment, and divisional management accounting. Topics include marginal cost relevancy, make-or buy decisions, multiple product cost assignment and production methods, joint costs and by-products, responsibility accounting, activity-based costing, just-in-time cost systems, economic value added, residual income, the balance scorecard, and return on investment techniques.",[],[],[],Accounting - CPS,[]
ACC,3201,Financial Reporting and Analysis 1,3,"Examines in greater depth the foundational principles, concepts, and measurement theories relating to financial reporting and stewardship. Focuses on the objectives of financial statements for various users such as lenders, investors, and various stakeholder groups. Emphasizes the accounting conceptual framework, including the guidance and standards promulgated by various standards-setting and regulatory bodies. Topics include the measurement, valuation, and disclosure of receivables, inventories, tangible and intangible assets, depreciation methods, revenue-recognition principles, and required footnotes.",[],['ACC 2100'],[],Accounting - CPS,[1]
ACC,3202,Financial Reporting and Analysis 2,3,"Continues the examination in greater depth of the foundational principles, concepts, and measurement theories relating to financial reporting and stewardship. Focuses on the objectives of financial statements for various users such as lenders, investors, and various stakeholder groups. Emphasizes the accounting conceptual framework, including the guidance and standards promulgated by various standards-setting and regulatory bodies. Topics include the measurement, valuation, and disclosure of liabilities, bond obligations, retirement obligations, reconciliation of deferred taxes and required tax disclosures, various corporate ownership interests, stock options, accounting changes, statement of cash flows, and required footnotes.",[],['ACC 3201'],[],Accounting - CPS,[1]
ACC,3330,Principles of Auditing,3,"Examines audit principles, concepts, and standards relevant to the attest function. Explores the objectives of audited financial statements performed by certified public accountants in compliance with AICPA auditing standards, PCAOB standards and guidelines, and SEC rules and regulations for publicly held companies. Also explores the objectives of audited financial statements and other lower-level services (such as reviews and compilations) performed for privately held nonpublic companies. Topics include ethical and legal liabilities of the auditor, including the independence and skepticism requirement, internal control, audit evidence, audit procedures, audit compliance and substantive testing, statistical sampling, transaction cycle testing, and the role of the audited reports on the efficiency of capital markets.",[],['ACC 3202'],[],Accounting - CPS,[1]
ACC,3410,Principles of Taxation,3,"Covers the objectives and principles of taxation, including the economic policy underlying various tax systems—property, consumption, value added, federal, and state income tax regimes. Explores the marginal tax structure and studies the component parts of the tax accounting equation in full, including the definitions and terminology described in the U.S. tax code. Emphasizes the tax compliance responsibilities and tax accounting methods and required reporting obligations for individuals, corporations, and various pass-through entities such as partnerships and subchapter S corporations.",[],['ACC 3201'],[],Accounting - CPS,[1]
ACC,4320,Financial Statement Analysis,3,"Explores the process, tools, principles, and concepts of financial reporting, financial statement analysis, and valuation used by investors and analysts. Covers analysis of financial information and firm-specific data, emphasizing the structure of financial statements. Focuses on use of this data for equity and debt valuation as part of security analysis and portfolio management. Studies analysis of individual investments, focusing on pricing shares of stock and creating valuation models and specific criteria used in lending decisions. Topics include models of intrinsic value; comparison of accrual accounting and discounted cash flow approaches to valuation; analysis of firm profitability, growth, risk analysis, and value generation; and assessment of accounting quality, forecasting earnings and cash flows, pro forma analysis for strategy and planning, and study of nonfinancial metrics.",[],"['ACC 3202', 'ACC 4307', 'FIN 3310', 'ACC 3410']",['Writing Intensive'],Accounting - CPS,"[1, 1, 2, 2]"
ACC,4410,Advanced Taxation,3,"Continues the study of taxation, including tax-planning strategies, the tax legislative process, tax controversies and litigation, the hierarchy of tax authorities, and tax research and writing techniques. Emphasizes the tax-planning techniques and opportunities for individuals and businesses to avoid or minimize the present value of tax liabilities through property acquisitions; exchanges and dispositions; deferred and installment sales; corporate reorganizations; liquidations; and other pass-through entity structures such as limited liability companies, trusts, estates, and personal holding companies. Integrates the analysis of legislative motives to provide incentives to promote desired economic and social behavior and to exact penalties to discourage undesirable economic and social activity.",[],['ACC 3410'],[],Accounting - CPS,[1]
ACC,4420,Advanced Accounting,3,"Covers Securities and Exchange Commission reporting requirements, including segment and interim reporting requirements for large publicly held companies. Focuses on the equity method of accounting for investments; consolidations of financial information and consolidated reporting requirements for activities subsequent to the date of acquisition; consolidated financial statements as they pertain to outside ownership, intercompany asset transactions, and ownership patterns and income taxes; and intercompany debt, consolidated statement of cash flows, and other multi-entity issues. Other related matters covered include multinational accounting for foreign currency transactions and financial instruments, including the currency translation of foreign entity financial statements. Special advanced topics include accounting for partnerships, estates and trusts, fund accounting, bankruptcy liquidations and reorganizations, and accounting for governmental units and not-for-profit entities.",[],"['ACC 3202', 'ACC 4307', 'ACC 3410']",[],Accounting - CPS,"[1, 1, 2]"
ACC,6210,Forensic Accounting Principles,3,"Seeks to provide students with a broad conceptual overview of the field of forensic accounting, the key internal controls required to deter/detect frauds or abuse, and the newly enacted corporate governance laws. Covers the roles, responsibilities, and requirements of a forensic accountant; basic legal and fraud examination theory; ethics in business; identifying the major types of cash, payroll, and other financial fraud schemes; detailed examination of the proper required internal audit controls (transaction authorization, segregation of duties, supervision, adequate documentation and records, physical safeguards, independent verification); and accounting/auditing standards and corporate governance needed to comply with the AICPA, SAS, CFE, government regulations, and Sarbanes-Oxley 2002 legislation. Discusses actual fraud cases to highlight the impact of auditing and forensic accounting on businesses and our society.",[],[],[],Accounting - CPS,[]
ACC,6220,Dissecting Financial Statements,3,"Offers students an opportunity to learn how to review, detect, and investigate possible financial statement concerns of publicly and privately held businesses, as well as nonprofit organizations and family businesses. Financial records of the companies studied span a variety of industries. Topics include legal elements of financial statement fraud, management’s and auditor’s responsibilities, improper revenue/sales recognition, inadequate disclosure of related-party transactions, improper asset valuation, improper deferral of costs and expenses, financial statement red flags, and inadequacies in management’s discussion and analysis. Addresses such factors as off-balance-sheet activity, liquidity, financial performance indicators, unreported intangibles, and lease auditing. Typical cases could include WorldCom, Enron, Rite Aid, Crazy Eddie, and ESM Government Securities.",[],[],[],Accounting - CPS,[]
ACC,6230,Investigative Accounting and Fraud Examination,3,"Offers students an opportunity to learn how to identify and investigate accounting frauds and irregularities. Includes the in-depth review of sophisticated fraud schemes; how fraudulent conduct can be deterred; how allegations of fraud should be investigated and resolved; the recovery of assets; methods of writing effective reports; complying with SAS 82 and other fraud standards; and recent antiterrorist and money-laundering regulations, including the Patriot Act of 2002. Sessions are interactive, with students working through actual cases, developing investigative strategies, and seeking to prove how the fraud was committed. Topics covered include acts of skimming, cash larceny, check tampering, register disbursement schemes, billing schemes, payroll and expense reimbursement schemes, improper accounting of inventory and other assets, corruption, bribery, conflicts of interest, security fraud, and insurance fraud.",[],"['ACC 6210', 'ACC 6220']",[],Accounting - CPS,"[1, 1]"
ACC,6240,Litigation Support,3,"thCovers the litigation process and civil and criminal statutes used to prosecute white-collar crimes. Offers students the opportunity to learn the appropriate analytical tools to quantify values for future earnings or damages resulting from fraud, breach of contract, or insurance disputes and to perform business valuations, including those arising from hostile situations such as divorce. Topics covered include how to assist in obtaining documentation necessary to support or refute a claim, assist in the examination for discovery, formulate questions to be asked regarding the financial evidence, review an opposing expert’s damages report and report on both the strengths and weaknesses of the positions taken, assist with settlement discussions and negotiations, and provide assistance at trial in testimony or with cross-examination.",[],[],[],Accounting - CPS,[]
AVM,1100,Fundamental Measurement Analysis,3,"Covers Measurement System Analysis (MSA), which is of critical importance to manufacturing. Its proper utilization allows companies to identify quality and production issues and to prioritize and to address them accordingly. Introduces fundamentals of measurement systems, statistical concepts, sources of variation, measurement strategies, and planning. Reviews and explores measurement system variability and techniques. Discusses linearity, repeatability, reproducibility, and production capability using Gage repeatability & reproducibility (R&R), process capability (Cp), and process capability index (Cpk).",[],[],[],Advanced Manufacturing Systems - CPS,[]
AVM,1150,Fundamentals of Manufacturing Systems,3,"Introduces the basic elements of manufacturing process including planning, operations, materials supply, quality control, process integration, and environmental compliance. Discusses advanced and micro-manufacturing methods including 3-D printing and other additive manufacturing methods. Evaluates design for manufacturing methods, computer integration, automation and robotics, as well as Industrial IoT, in technical and business aspects.",[],[],[],Advanced Manufacturing Systems - CPS,[]
